data,data_dados,confirmados,confirmados_novos,recuperados,obitos,internados,internados_uci,suspeitos,vigilancia,inc,r_t,R_Wert,data2
23-11-2020,23-11-2020 00:00,264802,4044,176827,3971,3241,498,,82025,790.4304516,0.869594204,0.85,11/23/2020
24-11-2020,24-11-2020 00:00,268721,3919,184233,4056,3275,506,,82160,791.4211363,0.860886827,0.81,11/24/2020
25-11-2020,25-11-2020 00:00,274011,5290,189356,4127,3251,517,,81946,794.8691077,0.849946314,0.7,11/25/2020
26-11-2020,26-11-2020 00:00,280394,6383,193944,4209,3192,516,,81367,800.1527597,0.860275675,0.79,11/26/2020
27-11-2020,27-11-2020 00:00,285838,5444,199446,4276,3208,526,,80713,788.4102317,0.928699208,0.97,11/27/2020
28-11-2020,28-11-2020 00:00,290706,4868,206275,4363,3155,529,,80485,771.568591,0.899966319,1.14,11/28/2020
29-11-2020,29-11-2020 00:00,294799,4093,209534,4427,3245,536,,80288,752.7067304,0.895910096,1.15,11/29/2020
30-11-2020,30-11-2020 00:00,298061,3262,212942,4505,3342,525,,81477,703.0850797,0.88963488,0.9,11/30/2020
1/12/2020,1/12/2020 0:00,300462,2401,220877,4577,3275,521,,79963,683.1645462,0.873445239,0.7,12/1/2020
2/12/2020,2/12/2020 0:00,303846,3384,223446,4645,3338,525,,78815,658.8150692,0.858907186,0.6,12/2/2020
3/12/2020,3/12/2020 0:00,307618,3772,229018,4724,3330,525,,77988,627.5210863,0.799741488,0.62,12/3/2020
4/12/2020,4/12/2020 0:00,312553,4935,234038,4803,3295,526,,77643,612.4277128,0.803241228,0.82,12/4/2020
5/12/2020,5/12/2020 0:00,318640,6087,240203,4876,3229,517,,77197,608.6883635,0.88006049,1.24,12/5/2020
6/12/2020,6/12/2020 0:00,322474,3834,243055,4963,3268,514,,77420,599.4225473,0.92760181,1.42,12/6/2020
7/12/2020,7/12/2020 0:00,325071,2597,245843,5041,3367,513,,77498,585.3684216,0.992139289,1.36,12/7/2020
8/12/2020,8/12/2020 0:00,327976,2905,252428,5122,3263,499,,77765,575.5198497,1.029908291,1.06,12/8/2020
9/12/2020,9/12/2020 0:00,332073,4097,254700,5192,3332,504,,76405,563.9327232,1.01048901,0.74,12/9/2020
10/12/2020,10/12/2020 0:00,335207,3134,259548,5278,3304,509,,75633,532.3765002,0.996892502,0.68,12/10/2020
11/12/2020,11/12/2020 0:00,340287,5080,263648,5373,3230,507,,74894,528.8411154,1.026804887,0.87,12/11/2020
12/12/2020,12/12/2020 0:00,344700,4413,268453,5461,3093,503,,73977,524.4218845,0.947154176,1.08,12/12/2020
13-12-2020,13-12-2020 00:00,348744,4044,271322,5559,3157,513,,74012,523.9459673,0.930669217,1.24,12/13/2020
14-12-2020,14-12-2020 00:00,350938,2194,274277,5649,3254,513,,76723,513.5729152,0.93758382,1.24,12/14/2020
15-12-2020,15-12-2020 00:00,353576,2638,280038,5733,3206,506,,74572,515.8748004,0.923054734,0.87,12/15/2020
16-12-2020,16-12-2020 00:00,358296,4720,283719,5815,3181,486,,74290,528.850828,1.006254797,0.81,12/16/2020
17-12-2020,17-12-2020 00:00,362616,4320,287028,5902,3142,494,,76451,534.1733304,1.043357442,0.83,12/17/2020
18-12-2020,18-12-2020 00:00,366952,4336,290690,5977,3061,484,,77432,528.3554857,1.030850118,1.02,12/18/2020
19-12-2020,19-12-2020 00:00,370787,3835,294814,6063,2973,485,,79503,506.4827205,1.019023438,1.3,12/19/2020
20-12-2020,20-12-2020 00:00,374121,3334,297233,6134,3027,483,,82591,501.6264227,0.967738245,1.16,12/20/2020
21-12-2020,21-12-2020 00:00,376220,2099,299603,6191,3158,502,,85149,496.7895501,0.922397753,0.98,12/21/2020
22-12-2020,22-12-2020 00:00,378656,2436,304825,6254,3095,508,,86334,492.2343428,0.940558785,0.73,12/22/2020
23-12-2020,23-12-2020 00:00,383258,4602,308446,6343,2990,511,,87043,497.1392035,0.956875072,0.72,12/23/2020
24-12-2020,24-12-2020 00:00,387636,4378,312533,6413,2853,505,,88978,509.2216724,0.985932143,0.85,12/24/2020
25-12-2020,25-12-2020 00:00,391782,4146,315126,6478,2754,504,,90093,500.1501082,0.982121668,1.14,12/25/2020
26-12-2020,26-12-2020 00:00,392996,1214,316671,6556,2790,513,,90318,469.079515,0.885526316,1.23,12/26/2020
27-12-2020,27-12-2020 00:00,394573,1577,319746,6619,2870,504,,92069,445.1185417,0.819325375,0.91,12/27/2020
28-12-2020,28-12-2020 00:00,396666,2093,321682,6677,2967,503,,93136,444.1375696,0.817186251,0.67,12/28/2020
29-12-2020,29-12-2020 00:00,400002,3336,327794,6751,2930,486,,91141,450.9169613,0.859685864,0.53,12/29/2020
30-12-2020,30-12-2020 00:00,406051,6049,331016,6830,2896,487,,91090,463.8250008,1.026295646,0.91,12/30/2020
31-12-2020,31-12-2020 00:00,413678,7627,334276,6906,2840,482,,88534,495.9445543,1.273322902,1.69,12/31/2020
1/1/2021,1/1/2021 0:00,420629,6951,338668,6972,2806,483,,91527,521.3429917,1.410887215,2.65,1/1/2020
2/1/2021,2/1/2021 0:00,423870,3241,340150,7045,2858,492,,91892,515.5737099,1.446359974,2.9,1/2/2020
3/1/2021,3/1/2021 0:00,427254,3384,342535,7118,3044,500,,94394,516.0593397,1.4338174,1.62,1/3/2020
4/1/2021,4/1/2021 0:00,431623,4369,344419,7196,3171,510,,94749,538.1069316,1.342331618,0.94,1/4/2020
5/1/2021,5/1/2021 0:00,436579,4956,349110,7286,3260,512,,96577,562.5826724,1.267965473,0.67,1/5/2020
6/1/2021,6/1/2021 0:00,446606,10027,352225,7377,3293,513,,100103,615.2735033,1.313564812,0.95,1/6/2020
7/1/2021,7/1/2021 0:00,456533,9927,355701,7472,3333,514,,103771,669.168696,1.311312383,1.38,1/7/2020
8/1/2021,8/1/2021 0:00,466709,10176,360181,7590,3451,536,,109161,727.7356472,1.31819092,1.96,1/8/2020
9/1/2021,9/1/2021 0:00,476187,9478,366080,7701,3555,540,,113526,808.0005369,1.430325068,2.48,1/9/2020
10/1/2021,10/1/2021 0:00,483689,7502,369108,7803,3770,558,,117210,865.5476656,1.391567008,1.63,1/10/2020
11/1/2021,11/1/2021 0:00,489293,5604,372056,7925,3983,567,,120292,899.6485886,1.345700618,1.12,1/11/2020
12/1/2021,12/1/2021 0:00,496552,7259,378084,8080,4043,599,,125296,937.7511009,1.301497396,0.85,1/12/2020
13-01-2021,13-01-2021 00:00,507108,10556,382544,8236,4240,596,,130887,981.5257691,1.156450102,0.78,1/13/2020
14-01-2021,14-01-2021 00:00,517806,10698,387607,8384,4368,611,,138992,1011.35315,1.085726943,0.92,1/14/2020
15-01-2021,15-01-2021 00:00,528469,10663,394065,8543,4560,622,,142740,1047.406305,1.070920756,1.2,1/15/2020
16-01-2021,16-01-2021 00:00,539416,10947,402542,8709,4653,638,,155401,1122.251566,1.054291098,1.44,1/16/2020
17-01-2021,17-01-2021 00:00,549801,10385,406929,8861,4889,647,,161120,1190.249448,1.092724207,1.38,1/17/2020
18-01-2021,18-01-2021 00:00,556503,6702,411589,9028,5165,664,,166235,1212.908933,1.096894227,1.13,1/18/2020
19-01-2021,19-01-2021 00:00,566958,10455,421871,9246,5291,670,,174355,1266.318496,1.139993523,0.98,1/19/2020
20-01-2021,20-01-2021 00:00,581605,14647,428364,9465,5493,681,,184034,1311.190687,1.178209366,0.98,1/20/2020
21-01-2021,21-01-2021 00:00,595149,13544,434237,9686,5630,702,,192900,1346.321146,1.169878388,1.06,1/21/2020
22-01-2021,22-01-2021 00:00,609136,13987,441556,9920,5779,715,,200730,1383.335847,1.200223181,1.36,1/22/2020
23-01-2021,23-01-2021 00:00,624469,15333,451324,10194,5922,720,,206232,1440.203094,1.208036247,1.49,1/23/2020
24-01-2021,24-01-2021 00:00,636190,11721,456491,10469,6117,742,,210664,1481.180535,1.159630589,1.29,1/24/2020
25-01-2021,25-01-2021 00:00,643113,6923,461757,10721,6420,767,,212711,1493.991448,1.119816919,1.06,1/25/2020
26-01-2021,26-01-2021 00:00,653878,10765,475485,11012,6472,765,,215770,1528.043808,1.077516209,0.85,1/26/2020
27-01-2021,27-01-2021 00:00,668951,15073,484753,11305,6603,783,,220256,1571.915603,1.02695966,0.77,1/27/2020
28-01-2021,28-01-2021 00:00,685383,16432,493699,11608,6565,782,,223150,1627.607626,1.044507981,0.9,1/28/2020
29-01-2021,29-01-2021 00:00,698583,13200,504886,11886,6627,806,,225507,1652.24848,1.032756033,1.16,1/29/2020
30-01-2021,30-01-2021 00:00,711018,12435,518900,12179,6544,843,,225365,1666.700823,0.995731707,1.28,1/30/2020
31-01-2021,31-01-2021 00:00,720516,9498,526411,12482,6694,858,,223991,1658.08575,0.965424862,1.16,1/31/2020
1/2/2021,1/2/2021 0:00,726321,5805,534384,12757,6869,865,,220353,1649.373552,0.92213578,0.83,2/1/2020
2/2/2021,2/2/2021 0:00,731861,5540,551956,13017,6775,852,,215536,1601.636145,0.871834718,0.6,2/2/2020
3/2/2021,3/2/2021 0:00,740944,9083,563174,13257,6684,877,,209261,1547.595263,0.831817814,0.52,2/3/2020
4/2/2021,4/2/2021 0:00,748858,7914,573934,13482,6496,863,,204336,1492.91335,0.752733439,0.55,2/4/2020
5/2/2021,5/2/2021 0:00,755774,6916,585276,13740,6412,904,,198263,1424.235587,0.687325738,0.72,2/5/2020
6/2/2021,6/2/2021 0:00,761906,6132,599593,13954,6158,891,,192673,1334.869995,0.652552479,0.9,2/6/2020
7/2/2021,7/2/2021 0:00,765414,3508,606166,14158,6248,865,,187440,1255.100448,0.623643965,0.82,2/7/2020
8/2/2021,8/2/2021 0:00,767919,2505,612921,14354,6344,877,,180905,1212.190201,0.655344624,0.67,2/8/2020
9/2/2021,9/2/2021 0:00,770502,2583,628078,14557,6070,862,,171554,1132.721744,0.675648266,0.5,2/9/2020
10/2/2021,10/2/2021 0:00,774889,4387,636859,14718,5829,853,,162566,1028.932948,0.667053136,0.43,2/10/2020
11/2/2021,11/2/2021 0:00,778369,3480,645122,14885,5570,836,,155298,903.1354104,0.657289857,0.53,2/11/2020
12/2/2021,12/2/2021 0:00,781223,2854,652739,15034,5230,846,,149651,802.6488968,0.61178422,0.7,2/12/2020
13-02-2021,13-02-2021 00:00,784079,2856,661525,15183,4850,803,,143173,709.6119439,0.573820553,0.92,2/13/2020
14-02-2021,14-02-2021 00:00,785756,1677,665316,15321,4826,795,,139402,633.6497341,0.599263515,0.84,2/14/2020
15-02-2021,15-02-2021 00:00,787059,1303,668854,15411,4832,784,,131521,589.9236289,0.648571719,0.67,2/15/2020
16-02-2021,16-02-2021 00:00,788561,1502,677719,15522,4482,752,,123180,550.704168,0.709615309,0.55,2/16/2020
17-02-2021,17-02-2021 00:00,790885,2324,683061,15649,4137,719,,114681,485.0567347,0.721417941,0.5,2/17/2020
18-02-2021,18-02-2021 00:00,792829,1944,687462,15754,3819,688,,107553,427.0725392,0.710844558,0.65,2/18/2020
19-02-2021,19-02-2021 00:00,794769,1940,691866,15821,3584,669,,100282,378.7426637,0.707732497,0.89,2/19/2020
20-02-2021,20-02-2021 00:00,796339,1570,696916,15897,3284,656,,92314,334.4338028,0.678885874,1.06,2/20/2020
21-02-2021,21-02-2021 00:00,797525,1186,699222,15962,3316,638,,86401,311.8811559,0.735746437,0.98,2/21/2020
22-02-2021,22-02-2021 00:00,798074,549,701409,16023,3322,627,,79699,292.883319,0.76175657,0.74,2/22/2020
23-02-2021,23-02-2021 00:00,799106,1032,705976,16086,3012,597,,70767,277.8190833,0.778458586,0.56,2/23/2020
24-02-2021,24-02-2021 00:00,800586,1480,709054,16136,2767,567,,63402,249.584568,0.791272431,0.55,2/24/2020
25-02-2021,25-02-2021 00:00,801746,1160,711713,16185,2613,536,,57694,227.0513463,0.757668451,0.64,2/25/2020
26-02-2021,26-02-2021 00:00,802773,1027,714493,16243,2404,522,,53166,209.3064342,0.726645483,0.9,2/26/2020
27-02-2021,27-02-2021 00:00,803844,1071,717313,16276,2180,492,,48490,191.9694512,0.711711712,1.09,2/27/2020
28-02-2021,28-02-2021 00:00,804562,718,718977,16317,2165,484,,45414,182.655072,0.725389135,0.94,2/28/2020
1/3/2021,1/3/2021 0:00,804956,394,720235,16351,2167,469,,41227,173.8263227,0.771784232,0.76,3/1/2020
2/3/2021,2/3/2021 0:00,805647,691,723465,16389,1997,446,,36859,165.9494077,0.817216392,0.61,3/2/2020
3/3/2021,3/3/2021 0:00,806626,979,725399,16430,1827,415,,33491,152.8859666,0.804796802,0.59,3/3/2020
4/3/2021,4/3/2021 0:00,807456,830,727053,16458,1708,399,,31041,142.0661352,0.811425323,0.73,3/4/2020
5/3/2021,5/3/2021 0:00,808405,949,728659,16486,1583,383,,28881,132.440953,0.818366754,1.07,3/5/2020
6/3/2021,6/3/2021 0:00,809412,1007,730601,16512,1416,363,,26704,126.9727617,0.851245987,1.31,3/6/2020
7/3/2021,7/3/2021 0:00,810094,682,731567,16540,1414,354,,25513,122.0776135,0.91589404,1.25,3/7/2020
8/3/2021,8/3/2021 0:00,810459,365,732346,16565,1403,342,,23881,120.290496,0.963747811,1.04,3/8/2020
9/3/2021,9/3/2021 0:00,811306,847,734218,16595,1278,312,,22096,118.4936658,1.004794034,0.84,3/9/2020
10/3/2021,10/3/2021 0:00,811948,642,738179,16617,1201,283,,21175,110.3545107,0.955818966,0.67,3/10/2020
11/3/2021,11/3/2021 0:00,812575,627,744196,16635,1102,273,,18951,105.1776973,0.925343456,0.72,3/11/2020
12/3/2021,12/3/2021 0:00,813152,577,749770,16650,1046,266,,18038,100.8070293,0.862620389,0.9,3/12/2020
13-03-2021,13-03-2021 00:00,813716,564,756259,16669,980,253,,17215,95.88274333,0.760558403,0.83,3/13/2020
14-03-2021,14-03-2021 00:00,814257,541,759417,16684,976,242,,16715,94.16361392,0.782224728,0.91,3/14/2020
15-03-2021,15-03-2021 00:00,814513,256,761788,16694,996,231,,16685,92.82327573,0.791951553,0.78,3/15/2020
16-03-2021,16-03-2021 00:00,814897,384,762961,16707,955,213,,15774,89.84150889,0.756477775,0.65,3/16/2020
17-03-2021,17-03-2021 00:00,815570,673,764019,16722,856,205,,15183,86.86945465,0.841542751,0.77,3/17/2020
18-03-2021,18-03-2021 00:00,816055,485,764599,16743,828,187,,15268,83.51860919,0.835935623,0.78,3/18/2020
19-03-2021,19-03-2021 00:00,816623,568,766170,16754,789,182,,14915,79.81811028,0.856191416,1.09,3/19/2020
20-03-2021,20-03-2021 00:00,817080,457,766924,16762,744,170,,14734,74.47618272,0.93678641,1.25,3/20/2020
21-03-2021,21-03-2021 00:00,817530,450,767319,16768,765,170,,14986,72.22286056,0.903644395,1.06,3/21/2020
22-03-2021,22-03-2021 00:00,817778,248,767874,16784,771,165,,15080,71.08648688,0.938218391,0.96,3/22/2020
